Srl. No.,COMPANY NAME,CATEGORY
3632,SWITZ INTERNATIONAL PRIVATE LIMITED,C1000
3633,SYBASE SOFTWARE INDIA PRIVATE LIMITED,C1000
3634,SYKES BUSINESS SERVICES OF INDIA PRIVATE LIMITED,C1000
3635,SYMANTEC SOFTWARE AND SERVICES INDIA PRIVATE LIMITED,C1000
3636,SYMED LABS LIMITED,C1000
3637,SYMPHONY HEALTHCARE TECHNOLOGIES,C1000
3638,SYNCADA INDIA OPERATIONS PRIVATE LIMITED,C1000
3639,SYNCHRONOSS TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3640,SYNECHRON TECHNOLOGIES PRIVATE LIMITED,C1000
3641,SYNEFRA ENGINEERING & CONSTRUCTION LIMITED,C1000
3642,SYNERGISTIC FINANCIAL NETWORKS PRIVATE LIMITED,C1000
3643,SYNERGY LIFESTYLES PRIVATE LIMITED,C1000
3644,SYNERGY MARITIME PRIVATE LIMITED,C1000
3645,SYNERGY MECHANICS PRIVATE LIMITED,C1000
3646,SYNERGY POLYMERS INDIA PRIVATE LIMITED,C1000
3647,SYNERGY PROPERTY DEVELOPMENT SERVICES PRIVATE LIMITED,C1000
3648,SYNERGY RELATIONSHIP MANAGEMENT SERVICES PRIVATE LIMITED,C1000
3649,SYNISE TECHNOLOGIES LIMITED,C1000
3650,SYNOPHIC SYSTEMS PRIVATE LIMITED,C1000
3651,SYNTHTRIX PHARMALABS INDIA PRIVATE LIMITED,C1000
3652,SYSCOM CORPORATION LIMITED,C1000
3653,SYSTEM SOFT TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3654,SYSTEMATIX FINCORP INDIA LIMITED,C1000
3655,SYSTEMS ADVISERS SOFTWARE SERVICES PRIVATE LIMITED,C1000
3656,SYSTEMS TEK,C1000
3657,SYSTWEAK SOFTWARE PRIVATE LIMITED,C1000
3658,T AND M SERVICES CONSULTING PRIVATE LIMITED,C1000
3659,T D S MANAGEMENT CONSULTANT PRIVATE LIMITED,C1000
3660,T N R ESTATES PRIVATE LIMITED,C1000
3661,TAEGUTEC INDIA PRIVATE LIMITED,C1000
3662,TAIYO LUCID PRIVATE LIMITED,C1000
3663,TAKSHASILA HOSPITALS OPERATING PRIVATE LIMITED,C1000
3664,TALENT SPRINT PRIVATE LIMITED,C1000
3665,TAM MEDIA RESEARCH PRIVATE LIMITED,C1000
3666,TAMARIND TOURS PRIVATE LIMITED,C1000
3667,TAMS TECHNOLOGIES PRIVATE LIMITED,C1000
3668,TANDEM GLOBAL LOGISTICS INDIA PRIVATE LIMITED,C1000
3669,TANDUS FLOORING INDIA PRIVATE LIMITED,C1000
3670,TANGENCE SOLUTIONS INDIA PRIVATE LIMITED,C1000
3671,TANGERINE DIGITAL ENTERTAINMENT PRIVATE LIMITED,C1000
3672,TANTRA INFOSOLUTIONS PRIVATE LIMITED,C1000
3673,TAPASYA ENGINEERING WORKS PRIVATE LIMITED,C1000
3674,TARANG SOFTWARE TECHNOLOGIES PRIVATE LIMITED,C1000
3675,TARANTULA NET INDIA PRIVATE LIMITED,C1000
3676,TARENTO TECHNOLOGIES PRIVATE LIMITED,C1000
3677,TARGUS TECHNOLOGIES PRIVATE LIMITED,C1000
3678,TARZ DISTRIBUTION INDIA PRIVATE LIMITED,C1000
3679,TASA FOODS PRIVATE LIMITED,C1000
3680,TASAA INFOSOLUTIONS PRIVATE LIMITED,C1000
3681,TATA COMMUNICATIONS TRANSFORMATION SERVICES LIMITED,C1000
3682,TATA FICOSA AUTOMOTIVE SYSTEMS LIMITED,C1000
3683,TATA SECURITIES LIMITED,C1000
3684,TAURUS EARTHMOVERS LIMITED,C1000
3685,TAURUS HOME FURNISHINGS LIMITED,C1000
3686,TAYAL INDIA MOTORS PRIVATE LIMITED,C1000
3687,TC TRAVEL AND SERVICES LIMITED,C1000
3688,TCOGNITION CONSULTANCY PRIVATE LIMITED,C1000
3689,TDI INTERNATIONAL INDIA PRIVATE LIMITED,C1000
3690,TE CONNECTIVITY GLOBAL SHARED SERVICES INDIA PRIVATE LIMITED,C1000
3691,TEAM COMPUTERS PRIVATE LIMITED,C1000
3692,TEAM GLOBAL LOGISTICS PRIVATE LIMITED,C1000
3693,TEAM HR SERVICES LIMITED,C1000
3694,TEAM PASONA INDIA COMPANY LIMITED,C1000
3695,TEAMWARE SOLUTIONS,C1000
3696,TECHASPECT SOLUTIONS PRIVATE LIMITED,C1000
3697,TECHBOOKS INTERNATIONAL PRIVATE LIMITED,C1000
3698,TECHLINK INFOWARE PRIVATE LIMITED,C1000
3699,TECHNIC PROJECT CONSULTANTS PRIVATE LIMITED,C1000
3700,TECHNICOLOR INDIA PRIVATE LIMITED,C1000
3701,TECHNICOM CHEMIE INDIA LIMITED,C1000
3702,TECHNO BRAIN INDIA PRIVATE LIMITED,C1000
3703,TECHNO SATCOMM INDIA PRIVATE LIMITED,C1000
3704,TECHNOMAKE SOLUTIONS PRIVATE LIMITED,C1000
3705,TECHNOSPARK INDUSTRIES INDIA PRIVATE LIMITED,C1000
3706,TECHNOSYS SERVICES PRIVATE LIMITED,C1000
3707,TECHNOVATION HEALTHCARE PRIVATE LIMITED,C1000
3708,TECHSET COMPOSITION INDIA PRIVATE LIMITED,C1000
3709,TECHSIGNIA SOLUTIONS PRIVATE LIMITED,C1000
3710,TECHSOLSOL SYSTEMS INDIA PRIVATE LIMITED,C1000
3711,TECHTIER IT SOLUTIONS PRIVATE LIMITED,C1000
3712,TECHTREK INDIA LIMITED,C1000
3713,TECKNOTROVE SYSTEMS INDIA PRIVATE LIMITED,C1000
3714,TECNICS INTEGRATION TECHNOLOGIES PRIVATE LIMITED,C1000
3715,TEEMS INDIA TOWER LINES PRIVATE LIMITED,C1000
3716,TEKCARE INDIA PRIVATE LIMITED,C1000
3717,TEKSYSTEMS,C1000
3718,TELA SOURCING INDIA PRIVATE LIMITED,C1000
3719,TELCORDIA TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3720,TELE DNA COMMUNICATIONS PRIVATE LIMITED,C1000
3721,TELEFLEX MEDICAL PRIVATE LIMITED,C1000
3722,TELEMART SHOPPING NETWORK PRIVATE LIMITED,C1000
3723,TELEMATICS 4U SERVICES PRIVATE LIMITED,C1000
3724,TELEMATRIX CONSULTANTS PRIVATE LIMITED,C1000
3725,TELETEXT INDIA LIMITED,C1000
3726,TELSTRA INDIA PRIVATE LIMITED,C1000
3727,TEMPUS INFRA PROJECTS PRIVATE LIMITED,C1000
3728,TENON PROPERTY SERVICES PRIVATE LIMITED,C1000
3729,TENOVA HYPERTHERM PRIVATE LIMITED,C1000
3730,TERADATA INDIA PRIVATE LIMITED,C1000
3731,TERAFAST NETWORKS PRIVATE LIMITED,C1000
3732,TERMINIX SIS INDIA PRIVATE LIMITED,C1000
3733,TES PACKING PRIVATE LIMITED,C1000
3734,TESSOLVE SERVICES PRIVATE LIMITED,C1000
3735,TEST AND VERIFICATION SOLUTIONS INDIA PRIVATE LIMITED,C1000
3736,TESTING CZARS SOFTWARE SOLUTIONS PRIVATE LIMITED,C1000
3737,TETRA SOFT INDIA PRIVATE LIMITED,C1000
3738,TEXPERTS INDIA PRIVATE LIMITED,C1000
3739,TEXPORT INDUSTRIES  PRIVATE LIMITED,C1000
3740,TEXPORT OVERSEAS PRIVATE LIMITED,C1000
3741,TGS CONSTRUCTIONS PRIVATE LIMITED,C1000
3742,THAKUR INFRA PROJECTS PRIVATE LIMITED,C1000
3743,THANDIRAM TEXTILES PRIVATE LIMITED,C1000
3744,THE SEKSARIA BISWAN SUGAR FACTORY LIMIITED,C1000
3745,THEME EXPORT PRIVATE LIMITED,C1000
3746,THERMAX BABCOCK AND WILCOX ENERGY SOLUTIONS PRIVATE LIMITED,C1000
3747,THERMAX SPX ENERGY TECHNOLOGIES LIMITED,C1000
3748,THERMOLAB SCIENTIFIC EQUIPMENTS PRIVATE LIMITED,C1000
3749,THERMOPADS PRIVATE LIMITED,C1000
3750,THERMOSYSTEM PRIVATE LIMITED,C1000
3751,THESYS TECHNOLOGIES PRIVATE LIMITED,C1000
3752,THINK AND LEARN PRIVATE LIMITED,C1000
3753,THINKLABS TECHNOSOLUTIONS PRIVATE LIMITED,C1000
3754,THINKVIDYA LEARNING PRIVATE LIMITED,C1000
3755,THIRTY SIX AUTOMOBILES PRIVATE LIMITED,C1000
3756,THOMAS WHITE INDIA PRIVATE LIMITED,C1000
3757,THOMASSEN COMPRESSION SYSTEMS INDIA PRIVATE LIMITED,C1000
3758,THOUGHTWORKS TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3759,THREE C UNIVERSAL DEVELOPERS PRIVATE LIMITED,C1000
3760,THREE ESS COMPUTER SERVICES INDIA PRIVATE LIMITED,C1000
3761,THRESHOLD SOFTWARE SOLUTION PRIVATE LIMITED,C1000
3762,THUNGA HOSPITAL PRIVATE LIMITED,C1000
3763,THUSE ELECTRONICS PRIVATE LIMITED,C1000
3764,TIBCO SOFTWARE INDIA PRIVATE LIMITED,C1000
3765,TIBREWALA ELECTROMECH PRIVATE LIMITED,C1000
3766,TIETO SOFTWARE TECHNOLOGIES PRIVATE LIMITED,C1000
3767,TIKONA DIGITAL NETWORKS PRIVATE LIMITED,C1000
3768,TIKONA INFINET LIMITED,C1000
3769,TIME ANALYTIC AND SHARED SERVICES PRIVATE LIMITED,C1000
3770,TIMES INNOVATIVE MEDIA LIMITED.,C1000
3771,TIMESMOBILE LIMITED,C1000
3772,TIRUMALA SEVEN HILLS PRIVATE LIMITED,C1000
3773,TITAN SEA AND AIR SERVICES PRIVATE LIMITED,C1000
3774,TLC RELATIONSHIP MANAGEMENT PRIVATE LIMITED,C1000
3775,TMA HOSPITALITY SERVICES PRIVATE LIMITED,C1000
3776,TODAY HOMES AND INFRASTRUCTURE PRIVATE LIMITED,C1000
3777,TOKHEIM INDIA PRIVATE LIMITED,C1000
3778,TOLL GLOBAL FORWARDING INDIA PRIVATE LIMITED,C1000
3779,TONG GARDEN FOOD MARKETING INDIA PRIVATE LIMITED,C1000
3780,TONI AND GUY INDIA LIMITED,C1000
3781,TOPS SECURITY LIMITED,C1000
3782,TOPSEL PRIVATE LIMITED,C1000
3783,TOPSLINE LIFE RESPONSE SERVICES PRIVATE LIMITED,C1000
3784,TORQUE COMMUNICATIONS PRIVATE LIMITED,C1000
3785,TORRY HARRIS BUSINESS SOLUTIONS,C1000
3786,TORSA MACHINES LIMITED,C1000
3787,TOTAL EARTH MOVERS PRIVATE LIMITED,C1000
3788,TOTAL ENVIRONMENT BUILDING SYSTEMS PRIVATE LIMITED,C1000
3789,TOTAL PRESENTATION DEVICES LIMITED,C1000
3790,TOWA OPTICS INDIA PRIVATE LIMITED,C1000
3791,TOYOTA LAKOZY AUTO PRIVATE LIMITED,C1000
3792,TOYOTA TSUSHO INDIA PRIVATE LIMITED,C1000
3793,TOYOTA TSUSHO INSURANCE BROKER INDIA PRIVATE LIMITED,C1000
3794,TPI ADVISORY SERVICES INDIA PRIVATE LIMITED,C1000
3795,TQUANTA TECHNOLOGIES PRIVATE LIMITED,C1000
3796,TRACKON TELEMATICS PRIVATE LIMITED,C1000
3797,TRADE WINGS TAX EXPERTS LIMITED,C1000
3798,TRADING ENGINEERS INTERNATIONAL LIMITED,C1000
3799,TRAFIGURA GLOBAL SERVICES PRIVATE LIMITED,C1000
3800,TRAIL BLAZER TOURS INDIA PRIVATE LIMITED,C1000
3801,TRANISTICS DATA TECHNOLOGIES PRIVATE LIMITED,C1000
3802,TRANS TECH TURNKEY P LIMITED,C1000
3803,TRANSASIA BIO MEDICALS LIMITED,C1000
3804,TRANSASIA FINE PAPERS PRIVATE LIMITED,C1000
3805,TRANSCOASTAL CARGO & SHIPPING,C1000
3806,TRANSERV PRIVATE LIMITED,C1000
3807,TRANSGRAPH CONSULTING PRIVATE LIMITED,C1000
3808,TRANSPOLE CONTAINER LINES PRIVATE LIMITED,C1000
3809,TRANSRAIL LIGHTING LIMITED,C1000
3810,TRAVEL TOURS PRIVATE LIMITED,C1000
3811,TRAVELPACK MARKETING AND LEISURE SERVICES INDIA LIMITED,C1000
3812,TRAVELXP INDIA PRIVATE LIMITED,C1000
3813,TRAXPO ENTERPRISES PRIVATE LIMITED,C1000
3814,TRC CORPORATE CONSULTING PRIVATE LIMITED,C1000
3815,TRENDSUTRA CLIENT SERVICES PRIVATE LIMITED,C1000
3816,TRENDSUTRA PLATFORM SERVICES PRIVATE LIMITED,C1000
3817,TRESVISTA FINANCIAL SERVICES PRIVATE LIMITED,C1000
3818,TRIBAL FUSION R AND D PRIVATE LIMITED,C1000
3819,TRIBHOVANDAS BHIMJI ZAVERI BOMBAY LIMITED,C1000
3820,TRIBURG CONSULTANTS PRIVATE LIMITED,C1000
3821,TRIBURG SPORTSWEAR PRIVATE LIMITED,C1000
3822,TRICON INFOTECH PRIVATE LIMITED,C1000
3823,TRICON INFRA BUILDTECH PRIVATE LIMITED,C1000
3824,TRIDENT AUTOMOBILES PRIVATE LIMITED,C1000
3825,TRIDENT CONTROLS PVT. LIMITED.,C1000
3826,TRIDENT HOTELS ,C1000
3827,TRIDENT INFOSOL PRIVATE LIMITED,C1000
3828,TRIM INDIA PRIVATE LIMITED,C1000
3829,TRIMBLE MOBILITY SOLUTIONS INDIA PRIVATE LIMITED,C1000
3830,TRIMURTI POLYCHEM PRIVATE LIMITED,C1000
3831,TRION PROPERTIES PRIVATE LIMITED,C1000
3832,TRIPLE POINT TECHNOLOGY,C1000
3833,TRIPLE S COMPONENTS PRIVATE LIMITED,C1000
3834,TRIPSTER SOLUTIONS PRIVATE LIMITED,C1000
3835,TRISQUARE SWITCHGEARS PRIVATE LIMITED,C1000
3836,TRIUMPH SYSTEMS AND SOLUTIONS PRIVATE LIMITED,C1000
3837,TRIUMPHANT INSTITUTE OF MANAGEMENT EDUCATION PRIVATE LIMITED,C1000
3838,TRIVEDI ENTERPRISES PRIVATE LIMITED,C1000
3839,TRIVENI POLYMERS PRIVATE LIMITED,C1000
3840,TRUE NORTH AR INDIA PRIVATE LIMITED,C1000
3841,TRUST CAPITAL SERVICES INDIA PRIVATE LIMITED,C1000
3842,TRUSTED AERO SPACE & ENGINEERING,C1000
3843,TRUSTLINE COMMODITIES PRIVATE LIMITED,C1000
3844,TRW SUN STEERING WHEELS PRIVATE LIMITED,C1000
3845,TS INFOTECH INDIA PRIVATE LIMITED,C1000
3846,TSI TRAVEL SERVICES INTERNATIONAL PRIVATE LIMITED,C1000
3847,TSYS CARD TECH SERVICES INDIA PRIVATE LIMITED,C1000
3848,TTP TECHNOLOGY INDIA PRIVATE LIMITED,C1000
3849,TTS SYSTEMATIX PRIVATE LIMITED,C1000
3850,TUKA TECH  INDIA PRIVATE LIMITED,C1000
3851,TULIP LAB PRIVATE LIMITED,C1000
3852,TULSA GAS TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3853,TURBO CONSULTANCY SERVICES PRIVATE LIMITED,C1000
3854,TURBOMACHINERY ENGINEERING INDUSTRIES LIMITED,C1000
3855,TURBOMECA INDIA ENGINES PRIVATE LIMITED ,C1000
3856,TURMERIC VISION PRIVATE LIMITED,C1000
3857,TURNER PROJECT MANAGEMENT INDIA PRIVATE LIMITED,C1000
3858,TUSHITA TRAVELS PRIVATE LIMITED,C1000
3859,TUV INDIA PRIVATE LIMITED.,C1000
3860,TV VISION LIMITED,C1000
3861,TV18 BROADCAST LIMITED,C1000
3862,TVM SIGNALLING AND TRANSPORTATION SYSTEMS PRIVATE LIMITED,C1000
3863,TVSNET TECHNOLOGIES,C1000
3864,TWENTY FOUR SECURE SERVICES PRIVATE LIMITED,C1000
3865,TWG APPLIED SERVICES INDIA PRIVATE LIMITED,C1000
3866,U SOFTWARE SYSTEMS INDIA PRIVATE LIMITED,C1000
3867,U2OPIA MOBILE PRIVATE LIMITED,C1000
3868,UBERALL SOLUTIONS INDIA PRIVATE LIMITED,C1000
3869,UBM INDIA PRIVATE LIMITED,C1000
3870,UCAM PRIVATE LIMITED,C1000
3871,UDAY STRUCTURALS AND ENGINEERS PRIVATE LIMITED,C1000
3872,UDAYA FM PRIVATE LIMITED,C1000
3873,UEM INDIA PVT. LIMITED,C1000
3874,UGAM SOLUTIONS SEZ PRIVATE LIMITED,C1000
3875,ULMA FORMWORK SYSTEMS INDIA PRIVATE LIMITED,C1000
3876,ULTRA RAYS 3D TECHNOLOGY PRIVATE LIMITED,C1000
3877,UMA PLASTICS LIMITED,C1000
3878,UNI DESIGN JEWELLERY INDIA PRIVATE LIMITED,C1000
3879,UNICON REAL ESTATES PRIVATE LIMITED,C1000
3880,UNICORN MCF SOLUTIONS PRIVATE LIMITED,C1000
3881,UNICORN PICKLES PRIVATE LIMITED,C1000
3882,UNIKEN SYSTEMS PRIVATE LIMITED,C1000
3883,UNILAZER VENTURES PRIVATE LIMITED,C1000
3884,UNIMED TECHNOLOGIES LIMITED,C1000
3885,UNION BATTERIES PRIVATE LIMITED,C1000
3886,UNIQUE LOGISTICS INTERNATIONAL INDIA PRIVATE LIMITED,C1000
3887,UNISEVEN ENGINEERING AND INFRASTRUCTURE PRIVATE LIMITED,C1000
3888,UNISON INSURANCE BROKING SERVICES PRIVATE LIMITED,C1000
3889,UNISSI INDIA PRIVATE LIMITED,C1000
3890,UNITECH AUTOMOBILES PRIVATE LIMITED,C1000
3891,UNITECH COUNTRY CLUB LIMITED,C1000
3892,UNITED EXIM PRIVATE LIMITED,C1000
3893,UNITEDHEALTHCARE PAREKH TPA PRIVATE LIMITED,C1000
3894,UNITEDLEX BPO PRIVATE LIMITED,C1000
3895,UNITEX APPARELS PRIVATE LIMITED,C1000
3896,UNITFORCE TECHNOLOGIES CONSULTING PRIVATE LIMITED,C1000
3897,UNITY TELECOM INFRASTRUCTURE LIMITED,C1000
3898,UNIVERCELL TELECOMMUNICATIONS INDIA PRIVATE LIMITED,C1000
3899,UNIVERSAL BUILDWELL PRIVATE LIMITED,C1000
3900,UNIVERSAL DIGITAL CONNECT LIMITED,C1000
3901,UNIVERSAL ENTERPRISES LIMITED,C1000
3902,UNIVERSAL FACILITY MANAGEMENT PRIVATE LIMITED,C1000
3903,UNIVERSAL GREENS DEVELOPERS PRIVATE LIMITED,C1000
3904,UNIVERSAL JOURNEYS INDIA PRIVATE LIMITED,C1000
3905,UNIVERSAL MUSIC INDIA PRIVATE LIMITED,C1000
3906,UNIWORLD LOGISTICS PRIVATE LIMITED,C1000
3907,UNO FOODS INDIA PRIVATE LIMITED,C1000
3908,URBAN TRANSIT PRIVATE LIMITED,C1000
3909,URC CONSTRUCTION PRIVATE LIMITED,C1000
3910,URS SCOTT WILSON INDIA PRIVATE LIMITED,C1000
3911,US TECH SOLUTIONS PRIVATE LIMITED,C1000
3912,USG BORAL BUILDING PRODUCTS INDIA PRIVATE LIMITED,C1000
3913,USM BUSINESS SYSTEMS PRIVATE LIMITED,C1000
3914,USS BROKING PRIVATE LIMITED,C1000
3915,UT WORLDWIDE INDIA PRIVATE LIMITED,C1000
3916,UTILITY PROJECTS AND SERVICES PRIVATE LIMITED,C1000
3917,UTL TECHNOLOGIES LIMITED,C1000
3918,UTTAM GALVA METALLICS LIMITED,C1000
3919,UTTAM INDUSTRIAL ENGINEERING LIMITED,C1000
3920,UTTAM SUCROTECH INTERNATIONAL PRIVATE LIMITED,C1000
3921,UTV NEW MEDIA LIMITED,C1000
3922,V AND S INTERNATIONAL PRIVATE LIMITED,C1000
3923,V R COATINGS PRIVATE LIMITED,C1000
3924,V STAR CREATIONS PRIVATE LIMITED,C1000
3925,V T CORP PRIVATE LIMITED,C1000
3926,V T PALRESHA AND COMPANY PRIVATE LIMITED,C1000
3927,V2SOFT PRIVATE LIMITED,C1000
3928,V3S INFRATECH LIMITED,C1000
3929,V5 GLOBAL SERVICES PRIVATE LIMITED,C1000
3930,VAATSALYA HEALTH CARE SOLUTIONS PRIVATE LIMITED,C1000
3931,VACS TECHNOLOGY PRIVATE LIMITED,C1000
3932,VAINAVI INDUSTRIES LIMITED,C1000
3933,VAKILS PREMEDIA PRIVATE LIMITED,C1000
3934,VALLEE DE VIN PRIVATE LIMITED,C1000
3935,VALTECH INDIA SOFTWARE SERVICES PRIVATE LIMITED,C1000
3936,VALUE INFRACON INDIA PRIVATE LIMITED,C1000
3937,VALUE PARTNERS CONSULTANTS PRIVATE LIMITED,C1000
3938,VALUEABLE TECHNOLOGIES LIMITED,C1000
3939,VALUEFIRST MESSAGING PRIVATE LIMITED,C1000
3940,VALUELABS,C1000
3941,VALUEMOMENTUM SOFTWARE SERVICES PRIVATE LIMITED,C1000
3942,VAMONA DEVELOPERS,C1000
3943,VANCE AND HEALTH PHARMACEUTICALS PRIVATE LIMITED,C1000
3944,VANTAGE INSURANCE BROKERS AND RISK ADVISOR PRIVATE LIMITED,C1000
3945,VANTAGE INTEGRATED SECURITY SOLUTIONS PRIVATE LIMITED,C1000
3946,VARIAN MEDICAL SYSTEMS INTERNATIONAL INDIA PRIVATE LIMITED,C1000
3947,VARIEGATE PROJECTS,C1000
3948,VARSHA OUTDOOR ADVERTISING PRIVATE LIMITED,C1000
3949,VAS DATA SERVICES PRIVATE LIMITED,C1000
3950,VASAVI PROSOFT TRANSCRIPTION LIMITED,C1000
3951,VASCO TRAVEL PRIVATE LIMITED,C1000
3952,VASCON INFRASTRUCTURE LIMITED,C1000
3953,VASUDEV ADIGAS FASTFOOD PRIVATE LIMITED,C1000
3954,VAYAM TECHNOLOGIES LIMITED (VAYAMTECH),C1000
3955,VBHC VALUE HOMES PRIVATE LIMITED,C1000
3956,VBPO INDIA PRIVATE LIMITED,C1000
3957,VCS QUALITY SERVICES PRIVATE LIMITED,C1000
3958,VDOPIA MEDIA AND SOFTWARE SOLUTIONS PRIVATE LIMITED,C1000
3959,VECTOR E COMMERCE PRIVATE LIMITED,C1000
3960,VEDANG RADIO TECHNOLOGY PRIVATE LIMITED,C1000
3961,VEE TECHNOLOGIES PRIVATE LIMITED,C1000
3962,VEENA INDUSTRIES LIMITED,C1000
3963,VEER O METALS PRIVATE LIMITED,C1000
3964,VELOCIS SYSTEMS PRIVATE LIMITED,C1000
3965,VELOSI CERTIFICATION SERVICES PRIVATE LIMITED,C1000
3966,VEMBU TECHNOLOGIES PRIVATE LIMITED,C1000
3967,VENKTRON DIGITAL SYSTEMS PRIVATE LIMITED,C1000
3968,VENTILLI VALVES INDIA PRIVATE LIMITED,C1000
3969,VENTURA ( INDIA ) PRIVATE LIMITED,C1000
3970,VENTURA COMMODITIES PRIVATE LIMITED,C1000
3971,VENUS WIRE INDUSTRIES PRIVATE LIMITED,C1000
3972,VERCHASKA INFOTECH PRIVATE LIMITED,C1000
3973,VERINON TECHNOLOGY SOLUTIONS PRIVATE LIMITED,C1000
3974,VERINT SYSTEMS INDIA PRIVATE LIMITED,C1000
3975,VERISK ANALYTICS INDIA PRIVATE LIMITED,C1000
3976,VERITAS INDIA LIMITED,C1000
3977,VERITIS SOLUTIONS INDIA PRIVATE LIMITED,C1000
3978,VERSANT TECHNOLOGIES PRIVATE LIMITED,C1000
3979,VERVE GLOBAL SERVICES PRIVATE LIMITED,C1000
3980,VGN INFRA INDIA PRIVATE LIMITED,C1000
3981,VHB LIFE SCIENCES LIMITED,C1000
3982,VHB MEDI SCIENCES LIMITED,C1000
3983,VIBRANT GLOBAL CAPITAL LIMITED,C1000
3984,VIBRANT HOLIDAY DESTINATIONS PRIVATE LIMITED,C1000
3985,VICOM SECURITY PRIVATE LIMITED,C1000
3986,VIDEOJET TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
3987,VIDTEQ INDIA PRIVATE LIMITED,C1000
3988,VIGHNAHARTA DIRECT INSURANCE BROKING PRIVATE LIMITED,C1000
3989,VIGNANI TECHNOLOGIES PRIVATE LIMITED,C1000
3990,VIKRAM INDIA LIMITED,C1000
3991,VIKRAM STRUCTURES PRIVATE LIMITED,C1000
3992,VIL LIMITED,C1000
3993,VILBERRY HEALTHCARE PRIVATE LIMITED.,C1000
3994,VIMAL INTERTRADE PRIVATE LIMITED,C1000
3995,VINAY EXPORTS PRIVATE LIMITED,C1000
3996,VINDAIR ENGINEERS PRIVATE LIMITED,C1000
3997,VINFAB ENGINEERS INDIA PRIVATE LIMITED,C1000
3998,VINOD MEDICAL SYSTEMS PRIVATE LIMITED,C1000
3999,VINSYS IT SERVICES INDIA PRIVATE LIMITED,C1000
4000,VIPUL CHEMICALS INDIA PRIVATE LIMITED,C1000
4001,VIPUL MEDCORP TPA PRIVATE LIMITED,C1000
4002,VIRAGE LOGIC INTERNATIONAL,C1000
4003,VIRGIN MOBILE INDIA PRIVATE LIMITED,C1000
4004,VIRGINIA TRANSFORMER INDIA PRIVATE LIMITED,C1000
4005,VIRGO CONSULTANTS PRIVATE LIMITED,C1000
4006,VIRINCHI TECHNOLOGIES LIMITED,C1000
4007,VIRSTRA I-TECHNOLOGY SERVICES LIMITED,C1000
4008,VIRTUAL EMPLOYEE PRIVATE LIMITED,C1000
4009,VISAGE HOLDINGS AND FINANCE PRIVATE LIMITED,C1000
4010,VISAKHA SOLVENTS LIMITED,C1000
4011,VISHAY COMPONENTS INDIA PRIVATE LIMITED,C1000
4012,VISHVAS POWER ENGINEERING SERVICES PRIVATE LIMITED,C1000
4013,VISION CARE INDIA PRIVATE LIMITED,C1000
4014,VISION WORLD PRIVATE LIMITED,C1000
4015,VISIONARY RCM INFOTECH INDIA PRIVATE LIMITED,C1000
4016,VISIONET SYSTEMS PRIVATE LIMITED,C1000
4017,VISKAN LOGISTICS SERVICES PRIVATE LIMITED,C1000
4018,VISTA PACKAGING PRIVATE LIMITED,C1000
4019,VISTEON ENGINEERING CENTER INDIA PRIVATE LIMITED,C1000
4020,VISUAL TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
4021,VIZEBH AGRI SCIENCES PRIVATE LIMITED,C1000
4022,VJ CORESOFT PRIVATE LIMITED,C1000
4023,VK BUILDING SERVICES PRIVATE LIMITED,C1000
4024,VKC FOOTSTEPS INDIA PRIVATE LIMITED,C1000
4025,VNS INDUSTRIES PRIVATE LIMITED,C1000
4026,VNV SOLUTIONS PRIVATE LIMITED,C1000
4027,VODAFONE INDIA SERVICES PRIVATE LIMITED,C1000
4028,VRITTI SOLUTIONS LIMITED,C1000
4029,VRL AUTOMATION ENGINEERING AND PROJECTS PRIVATE LIMITED,C1000
4030,VRL LOGISTICS LIMITED,C1000
4031,VSOFT TECHNOLOGIES PRIVATE LIMITED,C1000
4032,VSPLASH TECHLABS PRIVATE LIMITED,C1000
4033,VTL ELECTRONICS LIMITED,C1000
4034,VULCAN ENGINEERS LIMITED,C1000
4035,VULCAN EXPRESS PRIVATE LIMITED,C1000
4036,VULKAN TECHNOLOGIES PRIVATE LIMITED,C1000
4037,VVC MOTORS PRIVATE LIMITED,C1000
4038,VVDN TECHNOLOGIES PRIVATE LIMITED,C1000
4039,VYOMA TECHNOLOGIES PRIVATE LIMITED,C1000
4040,VYOME BIOSCIENCES PRIVATE LIMITED,C1000
4041,VYSHNAVI INFORMATION TECHNOLOGIES INDIA PRIVATE LIMITED,C1000
4042,W R GRACE AND CO INDIA PRIVATE LIMITED,C1000
4043,W S ATKINS INDIA PRIVATE LIMITED,C1000
4044,WAAREE ENERGIES LIMITED,C1000
4045,WAAREE MM PETRO TECH PRIVATE LIMITED,C1000
4046,WAI INSURANCE BROKING SERVICES PRIVATE LIMITED,C1000
4047,WALCHAND PEOPLEFIRST LIMITED,C1000
4048,WALLEM SHIPMANAGEMENT INDIA PRIVATE LIMITED,C1000
4049,WALSONS SERVICES PRIVATE LIMITED,C1000
4050,WATANMAL INDIA PRIVATE LIMITED,C1000
4051,WATERTECH EXPERTS PRIVATE LIMITED,C1000
