Srl. No.,COMPANY NAME,CATEGORY
159,IBM GLOBAL SERVICES INDIA LIMITED,A+
160,IBM INDIA LIMITED,A+
161,ICI INDIA LIMITED,A+
162,ICICI BANK LIMITED,A+
163,IDBI BANK,A+
164,I-FLEX SOLUTIONS,A+
165,INDIA CEMENTS,A+
166,INDIAN OIL CORP,A+
167,INDIAN SHAVING PRODUCTS LIMITED,A+
168,INDUSIND BANK LIMITED,A+
169,INFOSYS LIMITED,A+
170,INFRASTRUCTURE DEVELOPMENT FINANCE CORP (IDFC),A+
171,ING VYSA BANK,A+
172,INGERSOLL-RAND,A+
173,INTEL TECHNOLOGY INDIA PRIVATE LIMITED,A+
174,IPCL,A+
175,ITC,A+
176,JET AIRWAYS INDIA LIMITED,A+
177,JOHNSON & JOHNSON,A+
178,KANSAI NEROLAC PAINTS LIMITED,A+
179,KODAK INDIA LIMITED,A+
180,KOTAK MAHINDRA BANK LIMITED,A+
181,LAFARGE,A+
182,LAKME LEVER LIMITED,A+
183,LARSEN & TOUBRO LIMITED,A+
184,LINDE INDIA LIMITED,A+
185,LUCENT TECHNOLOGIES,A+
186,MAA BOZELL,A+
187,MAHINDRA & MAHINDRA LIMITED,A+
188,MAHINDRA SATYAM,A+
189,MARICO LIMITED,A+
190,Maruti Suzuki India LIMITED,A+
191,MASTEK,A+
192,MASTERCARD,A+
193,MATRIX LAB,A+
194,MAX LIFE INSURANCE COMPANY LIMITED,A+
195,MCCANN ERICKSON INDIA PRIVATE LIMITED,A+
196,MCGRAW-HILL COS,A+
197,MCKINSEY & COMPANY,A+
198,MERCK,A+
199,MERRILL LYNCH,A+
200,MICO INDIA LIMITED      ,A+
201,MICROSOFT CORP I PRIVATE LIMITED,A+
202,MITSUBISHI CORP,A+
203,MITSUBISHI ELECTRIC,A+
204,MITSUI,A+
205,MONDELEZ INDIA FOODS LIMITED,A+
206,MONSANTO INDIA LIMITED,A+
207,MORGAN STANLEY,A+
208,MOSER BAER,A+
209,MOTOROLA,A+
210,MUDRA,A+
211,NESTLE INDIA,A+
212,NICHOLAS PIRAMAL (M),A+
213,NOKIA,A+
214,NORTEL NETWORKS I P LIMITED,A+
215,NOVARTIS GROUP,A+
216,OGILVY & MATHER (O&M),A+
217,ORACLE INDIA PRIVATE LIMITED,A+
218,PEOPLESOFT,A+
219,PEPSI CO.,A+
220,PERFETTI VAN MELLE INDIA PRIVATE LIMITED,A+
221,PEROT SYSTEMS TSI,A+
222,PFIZER,A+
223,PHILIPS INDIA LIMITED,A+
224,PIDILITE IND,A+
225,PNB METLIFE INDIA INSURANCE COMPANY LIMITED,A+
226,PONDS INDIA LIMITED,A+
227,PRICE WATERHOUSE ASSOCIATES PRIVATE LIMITED,A+
228,PRICOL,A+
229,PROCTER & GAMBLE HYGIENE AND HEALTH CARE LIMITED,A+
230,QUALCOMM,A+
231,R K SWAMY BBDO ADVERTISING PRIVATE LIMITED,A+
232,RABO INDIA FINANCE PRIVATE LIMITED,A+
233,RAMCO SYSTEMS,A+
234,RANBAXY LABORATORIES LIMITED,A+
235,RAYMOND LIMITED,A+
236,RECKITT BENCKISER  INDIA LIMITED,A+
237,RELIANCE INDUSTRIES LIMITED,A+
238,REUTERS INDIA PRIVATE LIMITED,A+
239,ROBERT BOSCH ENGINEERING AND BUSINESS SOLUTIONS LIMITED,A+
240,SAACHI AND SAACHI,A+
241,SAINT-GOBAIN,A+
242,SAMSUNG ELECTRONICS,A+
243,SAP INDIA PRIVATE LIMITED,A+
244,SARA LEE,A+
245,SCHLUMBERGER,A+
246,SCHNEIDER ELECTRIC,A+
247,SIEBEL SYSTEMS,A+
248,SIEMENS LIMITED,A+
249,SINGAPORE AIRLINES,A+
250,SKF INDIA LIMITED,A+
251,SOCIETE GENERALE,A+
252,SONY INDIA,A+
253,SRF LIMITED,A+
254,STANDARD CHARTERED BANK,A+
255,SUBROS,A+
256,SUN MICROSYSTEMS,A+
257,SUN PHARMACEUTICAL INDUSTRIES LIMITED,A+
258,SWISS REINSURANCE,A+
259,TAJ GROUP OF HOTELS,A+
260,TATA AIA LIFE INSURANCE COMPANY,A+
261,TATA AIG GENERAL INSURANCE COMPANY,A+
262,TATA AUTO COMP SYSTEMS LIMITED,A+
263,TATA CONSULTANCY SERVICES,A+
264,TCS e-Serve Limited,A+
265,TEXAS INSTRUMENTS,A+
266,THE BOMBAY DYEING AND MFG CO LIMITED,A+
267,THE BOSTON CONSULTING GROUP INDIA PRIVATE LIMITED,A+
268,THERMAX LIMITED,A+
269,TORRENT PHARMACEUTICALS,A+
270,TOSHIBA INDIA PRIVATE LIMITED,A+
271,TRACTOR AND FARM EQUIPMENTS LIMITED,A+
272,TRENT,A+
273,TRIVENI ENGG,A+
274,UNESCO,A+
275,UNICEF,A+
276,WIPRO INFOTECH LIMITED,A+
277,WIPRO LIMITED,A+
278,WIPRO TECHNOLOGIES LIMITED,A+
279,WOCKHARDT,A+
280,WORLD BANK,A+
281,XEROX INDIA LIMITED,A+
282,Yahoo India Private Limited,A+
283,YES BANK,A+
284, A C CHOKSI SHARE BROKERS PRIVATE LIMITED,C1000
285, INTELEGAIN TECHNOLOGIES PRIVATE LIMITED,C1000
286, SUMERU INDIA PRIVATE LIMITED,C1000
287,24X7 LEARNING PRIVATE LIMITED,C1000
288,3D CONCEPT ANALYSIS AND DEVELOPMENT INDIA PRIVATE LIMITED,C1000
289,3I INDIA PRIVATE LIMITED,C1000
290,3I INFOTECH CONSULTANCY SERVICES LIMITED,C1000
291,3M ELECTRO AND COMMUNICATION INDIA PRIVATE LIMITED,C1000
292,A A ESTATES PRIVATE LIMITED,C1000
293,A K TRAVEL AND TOURS PRIVATE LIMITED,C1000
294,A LITTLE WORLD PRIVATE LIMITED,C1000
295,A M BREWERIES PRIVATE LIMITED,C1000
296,A PLUS EDUCATION SOLUTIONS PRIVATE LIMITED,C1000
297,A S P PRIVATE LIMITED,C1000
298,A S RETAIL AND HOSPITALITY TECHNICAL SOLUTION PRIVATE LIMITED,C1000
299,A T C CLEARING AND SHIPPING PRIVATE LIMITED,C1000
300,A US HOLIDAYS REALTY PRIVATE LIMITED,C1000
301,A.T.E. ENTERPRISES PRIVATE LIMITED.,C1000
302,A2Z ONLINE SERVICES PRIVATE LIMITED,C1000
303,AAJ KAAL PUBLISHERS PRIVATE LIMITED,C1000
304,AALTRAMEDHEALTH CARE LIMITED,C1000
305,AARBEE STRUCTURES PRIVATE LIMITED,C1000
306,AAR-EM ELECTRONICS PRIVATE LIMITED,C1000
307,AAREN INITIATIVE OUTDOOR ADVERTISING PRIVATE LIMITED,C1000
308,AARGUS GLOBAL LOGISTICS PRIVATE LIMITED,C1000
309,AARTI JEWELLERS PRIVATE LIMITED,C1000
310,AARVI ENCON PRIVATE LIMITED,C1000
311,AARVI ENGINEERING AND CONSULTANTS PRIVATE LIMITED,C1000
312,AASTRID INTERNATIONAL PRIVATE LIMITED,C1000
313,AAYUR TECHNOLOGY SOLUTIONS PRIVATE LIMITED,C1000
314,AB INSURANCE BROKERS PRIVATE LIMITED,C1000
315,ABACUS PERIPHERALS PRIVATE LIMITED,C1000
316,ABC CONSULTANTS PRIVATE LIMITED,C1000
317,ABEC EXHIBITIONS AND CONFERENCES PRIVATE LIMITED,C1000
318,ABERCROMBIE AND KENT INDIA PRIVATE LIMITED,C1000
319,ABHAYA INFRASTRUCTURES PRIVATE LIMITED,C1000
320,ABHAYA SHELTERS PRIVATE LIMITED,C1000
321,ABHINAV OUTSOURCINGS PRIVATE LIMITED,C1000
322,ABK INDUSTRIES LIMITED,C1000
323,ABM ARCHITECTS PRIVATE LIMITED,C1000
324,ABM KNOWLEDGEWARE LIMITED,C1000
325,ABS AIRCON ENGINEERS PRIVATE LIMITED,C1000
326,"ABSOTHERM FACILITY MANAGEMENT PRIVATE LIMITED
",C1000
327,ACC INDIA PRIVATE LIMITED,C1000
328,ACCENT OVERSEAS PRIVATE LIMITED,C1000
329,ACCENT PROPERTIES,C1000
330,ACCENTIV INDIA PRIVATE LIMITED,C1000
331,ACCESS AUTOMATION PRIVATE LIMITED,C1000
332,ACCESS DESIGN SOLUTIONS PRIVATE LIMITED,C1000
333,ACCLARIS BUSINESS SOLUTIONS PRIVATE LIMITED,C1000
334,ACCOR ADVANTAGE PLUS MARKETING INDIA PRIVATE LIMITED,C1000
335,ACCRA PAC INDIA PRIVATE LIMITED,C1000
336,ACCU PACK ENGINEERING PRIVATE LIMITED,C1000
337,ACCURATE PRODUCTS CORPORATION PRIVATE LIMITED,C1000
338,ACCUREX BIOMEDICAL PRIVATE LIMITED,C1000
339,ACCUSPEED ENGINEERING SERVICES INDIA LIMITED,C1000
340,ACCUSTER TECHNOLOGIES PRIVATE LIMITED,C1000
341,ACCUTECH POWER SOLUTIONS PRIVATE LIMITED,C1000
342,ACCUTEST RESEARCH LABORATORIES INDIA PRIVATE LIMITED,C1000
343,ACE MANUFACTURING SYSTEMS LIMITED,C1000
344,ACEBRIGHT INDIA PHARMA PRIVATE LIMITED,C1000
345,ACETEL TECHNOLOGIES PRIVATE LIMITED,C1000
346,ACG INSPECTION SYSTEMS PRIVATE LIMITED,C1000
347,ACG PAM PHARMA TECHNOLOGIES PRIVATE LIMITED,C1000
348,ACHALA IT SOLUTIONS PRIVATE LIMITED,C1000
349,ACHARYA EDUCATION SERVICES PRIVATE LIMITED,C1000
